"LocationFindLocationLatitude","LocationFindLocationLongitude"
-38.82251553,176.0452161
-38.606499,176.761929
-35.7175158,174.3261059
-36.8258367,175.4419905
-43.53474225,172.5457809
-40.95672744,173.0573693
-36.91000035,175.3983327
-39.5098296,176.9186651
-37.954127,176.989831
-43.598045,170.127165
-43.2704008,172.0934468
-38.680873,175.81879
-36.275448,174.797836
-36.8666649,175.0666695
-36.629146,174.726547
-35.773745,174.396801
-38.3636685,175.7735983
-38.714257,176.063207
-38.38432136,177.8298206
-41.30062322,174.7723962
-45.91061569,170.5350125
-39.2898,174.0726
-36.84758,174.730368
-38.12901306,176.2444418
-41.3480775,172.9378418
-41.17046895,172.9090416
-41.344202,174.3087079
-38.7951451,176.9870551
-39.134444,175.650833
-41.2056303,174.9256402
-43.243333,172.065494
-41.210821,173.068628
-39.2772618,175.6084421
-38.67042,178.040038
-41.1500019,173.0800018
-42.7527509,172.1452398
-43.41236296,170.1769583
-38.03915377,176.2277902
-37.6010736,175.8321684
-38.962855,175.760046
-41.259015,174.86716
-37.634936,176.176537
-39.088587,175.650189
-38.7989,177.1201
-36.6182748,175.4399861
-42.912033,171.51846
-39.2611604,175.5659861
-46.0198428,170.0889036
-41.229649,174.877081
-37.16964,175.853242
-40.94994766,172.8694947
-36.885795,174.778604
-38.3769313,175.4511344
-41.27960137,173.2443126
-45.77644,170.70527
-36.424585,174.866991
-36.8254289,175.7357729
-38.7298037,177.065009
-39.148432,174.139235
-36.9256231,174.7689454
-44.7710887,167.7678667
-41.079798,174.854643
-41.28387598,174.7335524
-35.2574987,174.1198369
-38.711709,176.05574
-38.35254059,177.1873301
-39.1278197,175.8220931
-39.4918764,176.926536
-38.9864675,174.3947573
-36.925925,174.6830571
-41.026407,174.882926
-37.1657254,175.9007941
-40.156663,175.765189
-38.16061021,176.2417694
-38.6542833,176.0884189
-38.0993055,176.2741139
-39.1317394,175.6561792
-41.83811,172.839331
-36.124973,174.567949
-41.336667,174.8333533
-36.9437886,174.9117502
-37.8053996,175.2944581
-41.279646,174.875046
-38.6882562,175.7817614
-44.35963,168.7761288
NA,NA
-38.3042522,174.6626861
-36.90935,174.894101
-39.151078,175.5850877
-37.6629201,176.1259785
-44.98567354,168.6688292
-41.3070023,174.8081658
-41.1371878,174.8281317
-37.67167573,176.1925885
-37.7262284,176.14409
-41.3259641,174.6390776
-39.237966,175.555464
-36.8620815,175.1843199
-39.288889,174.082778
-43.24951,170.205112
-37.0000001,175.3499992
-40.4803947,175.5166566
NA,NA
-38.142868,176.224237
-39.5266704,176.8641725
-45.188464,169.31438
-44.276651,168.889818
-45.840668,170.493572
-36.8873326,174.785925
-40.82287876,172.9003869
-37.404612,175.957162
-39.2809354,174.0713131
NA,NA
-36.599817,174.811252
-46.050923,170.190775
-38.1317261,176.2574051
-34.953344,173.527119
-36.797341,174.7465894
-40.9163651,173.0486535
-37.136777,175.542887
-36.828017,174.715361
-36.100829,174.593943
-42.2750262,173.7927208
-36.46940185,174.803552
-44.95459771,167.3270945
-46.486841,169.651553
-39.296844,174.063549
-36.301051,175.4823955
-44.931878,168.792615
-39.21356647,175.5272041
-37.7915967,174.8990052
